Defense #, RE, NT, LE, ROLB, RILB, LILB, LOLB, RCB, LCB, FS, SS,
Defense: 18,BEBB: PassRush; ,BEC8: PassRush; ,BED2: PassRush; ,B886: 56% 44%CPUTeamJumpsTo:56% m2m-HB; // m2m-FB; // PassRush; // 12-m2m-FB; ; m2m-FB; ,BC61: 63%CPUTeamJumpsTo:56% m2m-TE; // m2m-HB; // F5-Pause(5A C8); PassRush ,BC6C: 56%CPUTeamJumpsTo:56% m2m-WR1; // m2m-TE; // F5-Pause(5A C8); PassRush ,BF03: PassRush; ,BB34: 44% 06% m2m-WR1; // F4-Pause(1E); m2m-WR1; // 56%  m2m-FB; // m2m-HB; ,B57E: 44% 06% m2m-WR2; // F4-Pause(1E); m2m-WR2; // 44%  m2m-TE; // 81%CPUTeamJumpsTo:56% m2m-WR2; // m2m-TE; // F4-Pause(14); F5-Pause(3C 78); PassRush ,B30F: 56%  06% 13-m2m-WR1; ; m2m-WR1; // F4-Pause(32); 13-m2m-WR1; ; m2m-WR1; // 11-m2m-HB; ; m2m-HB; ,B8DF: 56% 06% 14-m2m-WR2; ; m2m-WR2; // 14-m2m-WR2; ; m2m-WR2; // 15-m2m-TE; ; m2m-TE; ,
Defense: 19,BEBB: PassRush; ,BEC8: PassRush; ,BED2: PassRush; ,BEDF: PassRush; ,BC93: 63%CPUTeamJumpsTo:31% m2m-FB; // 38% m2m-WR1; // 31% m2m-TE; // // F5-Pause(5A C8); PassRush ,AFE8: 56%CPUTeamJumpsTo:56% m2m-HB; // m2m-TE; // F5-Pause(5A C8); PassRush ,BF03: PassRush; ,AFF9: 88%CPUTeamJumpsTo:56% m2m-WR1; // m2m-HB; // F4-Pause(14); F5-Pause(3C 78); PassRush ,B00C: 81%CPUTeamJumpsTo:56% m2m-WR2; // m2m-TE; // F4-Pause(14); F5-Pause(3C 78); PassRush ,B6D7: 75%CPUTeamJumpsTo:56% m2m-WR1; // m2m-WR2; // F4-Pause(C8); PassRush ,B8AF: 69%CPUTeamJumpsTo:56% m2m-FB; // ; m2m-WR2; // 56% 69%CPUTeamJumpsTo:56% m2m-FB; // ; m2m-WR2; // 56% F4-Pause(00); // F4-Pause(14); F5-Pause(01 8C); // 69%CPUTeamJumpsTo:56% m2m-TE; // m2m-WR2; // 56%  F4-Pause(6E); // F5-Pause(3C A0); ,
Defense: 1A,BEBB: PassRush; ,BEC8: PassRush; ,BED2: PassRush; ,BEDF: PassRush; ,BC93: 63%CPUTeamJumpsTo:31% m2m-FB; // 38% m2m-WR1; // 31% m2m-TE; // // F5-Pause(5A C8); PassRush ,AFE8: 56%CPUTeamJumpsTo:56% m2m-HB; // m2m-TE; // F5-Pause(5A C8); PassRush ,BF03: PassRush; ,B930: 44% 06% m2m-WR1; // F4-Pause(1E); m2m-WR1; // 63% 88%CPUTeamJumpsTo:56% m2m-WR1; // m2m-HB; // F4-Pause(14); F5-Pause(3C 78); PassRush // m2m-FB; ,BB4A: 44% 06% m2m-WR2; // F4-Pause(1E); m2m-WR2; // 44% m2m-HB; // 44% m2m-TE; // 81%CPUTeamJumpsTo:56% m2m-WR2; // m2m-TE; // F4-Pause(14); F5-Pause(3C 78); PassRush ,B6D7: 75%CPUTeamJumpsTo:56% m2m-WR1; // m2m-WR2; // F4-Pause(C8); PassRush ,B8AF: 69%CPUTeamJumpsTo:56% m2m-FB; // ; m2m-WR2; // 56% 69%CPUTeamJumpsTo:56% m2m-FB; // ; m2m-WR2; // 56% F4-Pause(00); // F4-Pause(14); F5-Pause(01 8C); // 69%CPUTeamJumpsTo:56% m2m-TE; // m2m-WR2; // 56%  F4-Pause(6E); // F5-Pause(3C A0); ,
Defense: 1B,BEBB: PassRush; ,BEC8: PassRush; ,BED2: PassRush; ,BEDF: PassRush; ,BC93: 63%CPUTeamJumpsTo:31% m2m-FB; // 38% m2m-WR1; // 31% m2m-TE; // // F5-Pause(5A C8); PassRush ,AFE8: 56%CPUTeamJumpsTo:56% m2m-HB; // m2m-TE; // F5-Pause(5A C8); PassRush ,BAE5: 56% 25%CPUTeamJumpsTo:56% m2m-HB; // m2m-FB; // ; PassRush; // 11-m2m-HB; ; m2m-HB; ,B930: 44% 06% m2m-WR1; // F4-Pause(1E); m2m-WR1; // 63% 88%CPUTeamJumpsTo:56% m2m-WR1; // m2m-HB; // F4-Pause(14); F5-Pause(3C 78); PassRush // m2m-FB; ,BB4A: 44% 06% m2m-WR2; // F4-Pause(1E); m2m-WR2; // 44% m2m-HB; // 44% m2m-TE; // 81%CPUTeamJumpsTo:56% m2m-WR2; // m2m-TE; // F4-Pause(14); F5-Pause(3C 78); PassRush ,BA59: 56% 13-m2m-WR1; ; m2m-WR1; // 12-m2m-FB; ; m2m-FB; ,B8DF: 56% 06% 14-m2m-WR2; ; m2m-WR2; // 14-m2m-WR2; ; m2m-WR2; // 15-m2m-TE; ; m2m-TE; ,
Defense: 1C,BEBB: PassRush; ,BEC8: PassRush; ,BED2: PassRush; ,BEDF: PassRush; ,BB5D: 63%CPUTeamJumpsTo:56% m2m-HB; // ; m2m-WR2; // F4-Pause(00); ,A4BE: F3-Pause(0A); F4-Pause(14); F4-Pause(28); PassRush; ,A4D7: F4-Pause(8C); PassRush; ,BC9E: F4-Pause(14); F5-Pause(64 96); PassRush ,BCA5: 81%CPUTeamJumpsTo:44% F4-Pause(14); 31% 56% F4-Pause(00); // F4-Pause(14); F5-Pause(01 8C); // F5-Pause(64 C8); PassRush // m2m-WR2; // F4-Pause(14); 31% 56% F4-Pause(00); // F4-Pause(14); F5-Pause(01 8C); // F5-Pause(64 C8); PassRush ,BCB6: 75%CPUTeamJumpsTo:38% F4-Pause(14); F5-Pause(64 96); PassRush // m2m-HB; // F4-Pause(14); F5-Pause(64 96); PassRush ,BCC7: 56%  56% F4-Pause(00); // F4-Pause(14); F5-Pause(01 8C); // F4-Pause(14); F5-Pause(64 96); PassRush ,
Defense: 1D,BEBB: PassRush; ,BEC8: PassRush; ,BED2: PassRush; ,BEDF: PassRush; ,BB5D: 63%CPUTeamJumpsTo:56% m2m-HB; // ; m2m-WR2; // F4-Pause(00); ,A4BE: F3-Pause(0A); F4-Pause(14); F4-Pause(28); PassRush; ,A4D7: F4-Pause(8C); PassRush; ,BC9E: F4-Pause(14); F5-Pause(64 96); PassRush ,B7B7: 63% m2m-WR2; // F4-Pause(3C); F5-Pause(46 78); PassRush ,BB6B: 63% 75%CPUTeamJumpsTo:38% F4-Pause(14); F5-Pause(64 96); PassRush // m2m-HB; // F4-Pause(14); F5-Pause(64 96); PassRush // F4-Pause(C8); m2m-HB; ,BCC7: 56%  56% F4-Pause(00); // F4-Pause(14); F5-Pause(01 8C); // F4-Pause(14); F5-Pause(64 96); PassRush ,
Defense: 1E,BEBB: PassRush; ,BEC8: PassRush; ,BED2: PassRush; ,BEDF: PassRush; ,BB5D: 63%CPUTeamJumpsTo:56% m2m-HB; // ; m2m-WR2; // F4-Pause(00); ,A4BE: F3-Pause(0A); F4-Pause(14); F4-Pause(28); PassRush; ,A4D7: F4-Pause(8C); PassRush; ,BC9E: F4-Pause(14); F5-Pause(64 96); PassRush ,B7B7: 63% m2m-WR2; // F4-Pause(3C); F5-Pause(46 78); PassRush ,BB6B: 63% 75%CPUTeamJumpsTo:38% F4-Pause(14); F5-Pause(64 96); PassRush // m2m-HB; // F4-Pause(14); F5-Pause(64 96); PassRush // F4-Pause(C8); m2m-HB; ,BB7D: 44% 14-m2m-WR2; ; m2m-WR2; // 56% 56%  56% F4-Pause(00); // F4-Pause(14); F5-Pause(01 8C); // F4-Pause(14); F5-Pause(64 96); PassRush // 11-m2m-HB; ; m2m-HB; ,
Defense: 1F,BEBB: PassRush; ,BEC8: PassRush; ,BED2: PassRush; ,BEDF: PassRush; ,BC93: 63%CPUTeamJumpsTo:31% m2m-FB; // 38% m2m-WR1; // 31% m2m-TE; // // F5-Pause(5A C8); PassRush ,BCEF: 56%CPUTeamJumpsTo:56% 11-m2m-HB; ; m2m-HB; // m2m-WR2; // F5-Pause(5A C8); PassRush ,BF20: 25%CPUTeamJumpsTo:56% m2m-HB; // m2m-FB; // ; PassRush; ,BCCE: 88%CPUTeamJumpsTo:56% m2m-WR1; // m2m-WR2; // F4-Pause(14); F5-Pause(3C 78); PassRush ,BCD9: 81%CPUTeamJumpsTo:56% m2m-HB; // ; m2m-WR2; // F5-Pause(5A C8); PassRush ,BCE4: 75%CPUTeamJumpsTo:31% m2m-HB; // 38% m2m-WR1; // 38% m2m-WR2; // // F4-Pause(C8); F4-Pause(64); ,B18E: 69%CPUTeamJumpsTo:56% m2m-TE; // m2m-WR2; // 56%  F4-Pause(78); PassRush // F4-Pause(14); F5-Pause(5A B4); ,
Defense: 20,BEBB: PassRush; ,BEC8: PassRush; ,BED2: PassRush; ,BEDF: PassRush; ,BC93: 63%CPUTeamJumpsTo:31% m2m-FB; // 38% m2m-WR1; // 31% m2m-TE; // // F5-Pause(5A C8); PassRush ,BCEF: 56%CPUTeamJumpsTo:56% 11-m2m-HB; ; m2m-HB; // m2m-WR2; // F5-Pause(5A C8); PassRush ,BF20: 25%CPUTeamJumpsTo:56% m2m-HB; // m2m-FB; // ; PassRush; ,BB90: 44% 06% m2m-WR1; // F4-Pause(1E); m2m-WR1; // 44% 38% m2m-WR2; // F4-Pause(14); m2m-WR2; // 88%CPUTeamJumpsTo:56% m2m-WR1; // m2m-WR2; // F4-Pause(14); F5-Pause(3C 78); PassRush ,BBB1: 44% m2m-HB; // 56% m2m-TE; // m2m-FB; ,BCE4: 75%CPUTeamJumpsTo:31% m2m-HB; // 38% m2m-WR1; // 38% m2m-WR2; // // F4-Pause(C8); F4-Pause(64); ,B18E: 69%CPUTeamJumpsTo:56% m2m-TE; // m2m-WR2; // 56%  F4-Pause(78); PassRush // F4-Pause(14); F5-Pause(5A B4); ,
Defense: 21,BEBB: PassRush; ,BEC8: PassRush; ,BED2: PassRush; ,BEDF: PassRush; ,BC93: 63%CPUTeamJumpsTo:31% m2m-FB; // 38% m2m-WR1; // 31% m2m-TE; // // F5-Pause(5A C8); PassRush ,BCEF: 56%CPUTeamJumpsTo:56% 11-m2m-HB; ; m2m-HB; // m2m-WR2; // F5-Pause(5A C8); PassRush ,BBBE: 56% 25%CPUTeamJumpsTo:56% m2m-HB; // m2m-FB; // ; PassRush; // 12-m2m-FB; ; m2m-FB; ,BB90: 44% 06% m2m-WR1; // F4-Pause(1E); m2m-WR1; // 44% 38% m2m-WR2; // F4-Pause(14); m2m-WR2; // 88%CPUTeamJumpsTo:56% m2m-WR1; // m2m-WR2; // F4-Pause(14); F5-Pause(3C 78); PassRush ,BBB1: 44% m2m-HB; // 56% m2m-TE; // m2m-FB; ,BBC8: 56%  06% 13-m2m-WR1; ; m2m-WR1; // F4-Pause(32); 13-m2m-WR1; ; m2m-WR1; // 14-m2m-WR2; ; m2m-WR2; ,BBD5: 56% 15-m2m-TE; ; m2m-TE; // 11-m2m-HB; ; m2m-HB; ,
Defense: 22,A704: Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush; ,A714: Boost-RS(0F); Boost-MS(30); Boost-HP(20); F3-Pause(28); PassRush; ,A723: Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush; ,A733: Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush ,BBE2: Boost-RP(16); Boost-MS(16); m2m-WR2; ,A753: Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush; ,A763: Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush ,B5AB: ,B5B2: ,B5B9: ,B5C0: ,
Defense: 23,BEBB: PassRush; ,BEC8: PassRush; ,BED2: PassRush; ,BEDF: PassRush; ,AFD7: 63%CPUTeamJumpsTo:56% m2m-HB; // m2m-FB; // F5-Pause(5A C8); PassRush ,B4EE: 56%CPUTeamJumpsTo:[56%Jump B9D8; m2m-FB; 56%Jump B9DD; m2m-WR1; 56%Jump B9E2; m2m-WR2; 56%Jump B9CE; m2m-TE; 56%Jump B9D3; m2m-HB; // Circular Randoms]// F4-Pause(3C); F5-Pause(1E 8C); PassRush ,A4D7: F4-Pause(8C); PassRush; ,AFF9: 88%CPUTeamJumpsTo:56% m2m-WR1; // m2m-HB; // F4-Pause(14); F5-Pause(3C 78); PassRush ,BC40: 81%CPUTeamJumpsTo:56% m2m-HB; // ; m2m-WR2; // F4-Pause(14); F5-Pause(3C 78); PassRush ,B6D7: 75%CPUTeamJumpsTo:56% m2m-WR1; // m2m-WR2; // F4-Pause(C8); PassRush ,B8AF: 69%CPUTeamJumpsTo:56% m2m-FB; // ; m2m-WR2; // 56% 69%CPUTeamJumpsTo:56% m2m-FB; // ; m2m-WR2; // 56% F4-Pause(00); // F4-Pause(14); F5-Pause(01 8C); // 69%CPUTeamJumpsTo:56% m2m-TE; // m2m-WR2; // 56%  F4-Pause(6E); // F5-Pause(3C A0); ,
Defense: 24,BEBB: PassRush; ,BEC8: PassRush; ,BED2: PassRush; ,BEDF: PassRush; ,AFD7: 63%CPUTeamJumpsTo:56% m2m-HB; // m2m-FB; // F5-Pause(5A C8); PassRush ,B4EE: 56%CPUTeamJumpsTo:[56%Jump B9D8; m2m-FB; 56%Jump B9DD; m2m-WR1; 56%Jump B9E2; m2m-WR2; 56%Jump B9CE; m2m-TE; 56%Jump B9D3; m2m-HB; // Circular Randoms]// F4-Pause(3C); F5-Pause(1E 8C); PassRush ,A4D7: F4-Pause(8C); PassRush; ,BBF0: 56%  56% m2m-WR1; // m2m-HB; // Motion(82); MotionTo-FB; m2m-FB; ,B34D: 56% 06% m2m-WR2; // F4-Pause(1E); m2m-WR2; // 81%CPUTeamJumpsTo:56% m2m-WR2; // m2m-TE; // F4-Pause(14); F5-Pause(3C 78); PassRush ,B6D7: 75%CPUTeamJumpsTo:56% m2m-WR1; // m2m-WR2; // F4-Pause(C8); PassRush ,B8AF: 69%CPUTeamJumpsTo:56% m2m-FB; // ; m2m-WR2; // 56% 69%CPUTeamJumpsTo:56% m2m-FB; // ; m2m-WR2; // 56% F4-Pause(00); // F4-Pause(14); F5-Pause(01 8C); // 69%CPUTeamJumpsTo:56% m2m-TE; // m2m-WR2; // 56%  F4-Pause(6E); // F5-Pause(3C A0); ,
Defense: 25,BEBB: PassRush; ,BEC8: PassRush; ,BED2: PassRush; ,BEDF: PassRush; ,AFD7: 63%CPUTeamJumpsTo:56% m2m-HB; // m2m-FB; // F5-Pause(5A C8); PassRush ,B6AD: 56% 11-m2m-HB; ; m2m-HB; // 56%CPUTeamJumpsTo:[56%Jump B9D8; m2m-FB; 56%Jump B9DD; m2m-WR1; 56%Jump B9E2; m2m-WR2; 56%Jump B9CE; m2m-TE; 56%Jump B9D3; m2m-HB; // Circular Randoms]// F4-Pause(3C); F5-Pause(1E 8C); PassRush ,A4D7: F4-Pause(8C); PassRush; ,BBF0: 56%  56% m2m-WR1; // m2m-HB; // Motion(82); MotionTo-FB; m2m-FB; ,B34D: 56% 06% m2m-WR2; // F4-Pause(1E); m2m-WR2; // 81%CPUTeamJumpsTo:56% m2m-WR2; // m2m-TE; // F4-Pause(14); F5-Pause(3C 78); PassRush ,B2AF: 44% 13-m2m-WR1; ; m2m-WR1; // 12-m2m-FB; ; m2m-FB; ,B48F: 56% 56% F4-Pause(46); F4-Pause(3C); 56% F5-Pause(01 1E); // PassRush // F5-Pause(0A 1E); F4-Pause(14); F5-Pause(01 64); // 06% m2m-WR2; // F4-Pause(1E); m2m-WR2; ,
Defense: 26,BEBB: PassRush; ,BEC8: PassRush; ,BED2: PassRush; ,BEDF: PassRush; ,BD0E: 63%CPUTeamJumpsTo:56% m2m-HB; // m2m-FB; // F5-Pause(5A C8); PassRush ,BC6C: 56%CPUTeamJumpsTo:56% m2m-WR1; // m2m-TE; // F5-Pause(5A C8); PassRush ,BD03: 25%CPUTeamJumpsTo:31% m2m-FB; // 38% m2m-WR1; // 38% m2m-WR2; // // F4-Pause(8C); PassRush; ,B5C7: 88%CPUTeamJumpsTo:56% m2m-WR1; // m2m-HB; // F5-Pause(5A C8); PassRush ,B00C: 81%CPUTeamJumpsTo:56% m2m-WR2; // m2m-TE; // F4-Pause(14); F5-Pause(3C 78); PassRush ,B6D7: 75%CPUTeamJumpsTo:56% m2m-WR1; // m2m-WR2; // F4-Pause(C8); PassRush ,B8AF: 69%CPUTeamJumpsTo:56% m2m-FB; // ; m2m-WR2; // 56% 69%CPUTeamJumpsTo:56% m2m-FB; // ; m2m-WR2; // 56% F4-Pause(00); // F4-Pause(14); F5-Pause(01 8C); // 69%CPUTeamJumpsTo:56% m2m-TE; // m2m-WR2; // 56%  F4-Pause(6E); // F5-Pause(3C A0); ,
Defense: 27,BEBB: PassRush; ,BEC8: PassRush; ,BED2: PassRush; ,BEDF: PassRush; ,BD0E: 63%CPUTeamJumpsTo:56% m2m-HB; // m2m-FB; // F5-Pause(5A C8); PassRush ,BC6C: 56%CPUTeamJumpsTo:56% m2m-WR1; // m2m-TE; // F5-Pause(5A C8); PassRush ,BD03: 25%CPUTeamJumpsTo:31% m2m-FB; // 38% m2m-WR1; // 38% m2m-WR2; // // F4-Pause(8C); PassRush; ,B504: 44% m2m-WR1; // 56% m2m-FB; // m2m-HB; ,B876: 44% 06% m2m-TE; // F4-Pause(1E); m2m-TE; // 63% 81%CPUTeamJumpsTo:56% m2m-WR2; // m2m-TE; // F4-Pause(14); F5-Pause(3C 78); PassRush // m2m-WR2; ,B6D7: 75%CPUTeamJumpsTo:56% m2m-WR1; // m2m-WR2; // F4-Pause(C8); PassRush ,B8AF: 69%CPUTeamJumpsTo:56% m2m-FB; // ; m2m-WR2; // 56% 69%CPUTeamJumpsTo:56% m2m-FB; // ; m2m-WR2; // 56% F4-Pause(00); // F4-Pause(14); F5-Pause(01 8C); // 69%CPUTeamJumpsTo:56% m2m-TE; // m2m-WR2; // 56%  F4-Pause(6E); // F5-Pause(3C A0); ,
Defense: 28,BEBB: PassRush; ,BEC8: PassRush; ,BED2: PassRush; ,BEDF: PassRush; ,B521: 56% 63%CPUTeamJumpsTo:56% m2m-TE; // m2m-HB; // F5-Pause(5A C8); PassRush // 11-m2m-HB; ; m2m-HB; ,BC6C: 56%CPUTeamJumpsTo:56% m2m-WR1; // m2m-TE; // F5-Pause(5A C8); PassRush ,BD03: 25%CPUTeamJumpsTo:31% m2m-FB; // 38% m2m-WR1; // 38% m2m-WR2; // // F4-Pause(8C); PassRush; ,B504: 44% m2m-WR1; // 56% m2m-FB; // m2m-HB; ,B876: 44% 06% m2m-TE; // F4-Pause(1E); m2m-TE; // 63% 81%CPUTeamJumpsTo:56% m2m-WR2; // m2m-TE; // F4-Pause(14); F5-Pause(3C 78); PassRush // m2m-WR2; ,BA0D: 56%  06% 13-m2m-WR1; ; m2m-WR1; // F4-Pause(32); 13-m2m-WR1; ; m2m-WR1; // 12-m2m-FB; ; m2m-FB; ,B8A2: 56% 06% 15-m2m-TE; ; m2m-TE; // 15-m2m-TE; ; m2m-TE; // 14-m2m-WR2; ; m2m-WR2; ,
